x,y
-10.315378402,19.801472992
-10.869415368,19.900813214
-11.572343006,19.825786567
-11.786207226,19.249892387
-11.952070244,18.611310694
-12.434910669,18.571859246
-13.138523286,18.640164052
-13.537070832,18.263197080
-13.727455276,17.582396062
-14.335739366,17.453734923
-14.377001084,16.955079594
-14.711536415,16.500504039
-14.883623946,15.858713624
-15.107343982,16.529299641
-15.411875867,16.372685706
-15.761150707,15.758077418
-15.879412233,15.092851578
-16.172972404,15.290856230
-16.516988273,14.673288951
-16.596486550,14.146369271
-16.718930373,14.195711708
-17.297098975,13.788947244
-17.875267577,13.382182779
-18.256013793,13.813441357
-18.181152484,13.182105043
-18.322491522,12.575249339
-18.801024209,12.073448627
-19.376263880,11.994436187
-19.453054395,11.291699053
-19.877161956,11.405845281
-20.527863643,11.480953094
-20.809729586,10.953520032
-20.973752596,10.278071595
-21.469486771,9.780307781
-22.013456049,9.331955438
-22.683190990,9.188344499
-23.084149125,8.816782152
-22.890089471,8.137019611
-22.696029817,7.457257070
-23.118374887,7.910298100
-23.303053255,7.650892711
-23.530836425,7.646053511
-23.718327987,6.964450125
-24.204384534,6.698571810
-24.910168140,6.738643795
-24.534229218,6.560685204
-24.065591181,6.338621086
-24.759036552,6.201253769
-25.452481923,6.063886453
-25.686135796,5.496758704
-26.066146136,5.168236834
-26.236423389,4.482130488
-26.542459617,3.905831975
-26.913498732,3.340637892
-27.175352011,3.356284732
-27.282513525,3.478566852
-27.591369204,2.842686020
-27.869498127,2.196172120
-28.489406068,1.917292035
-28.371309591,1.507539093
-28.634493805,0.931951596
-29.028991536,0.345515297
-29.478287566,-0.197451154
-30.087494969,-0.121487005
-30.010615733,-0.824214438
-29.381253537,-0.914649049
-29.653141057,-1.206911283
-30.245131281,-1.593283949
-30.687928850,-1.244534523
-30.469340593,-1.916810832
-30.250752335,-2.589087141
-30.533103424,-2.878984994
-31.214499276,-3.020936671
-31.487346042,-3.594039969
-31.648723433,-4.197427433
-32.208981562,-4.458989936
-31.975270439,-4.948101843
-31.945255546,-4.772713829
-32.059171415,-5.046888959
-32.360234229,-5.651246004
-32.911599687,-6.061706423
-32.838833040,-6.702769188
-33.200004732,-6.620405567
-33.130702349,-7.323902635
-33.417740701,-7.929492724
-33.428853394,-8.624467967
-33.418791921,-9.317769512
-33.692554724,-9.969528815
-34.132813901,-10.234962708
